N_id,Title,Main Genre,Sub Genres,Release Year,Maturity Rating,Original Audio,Recommendations
7774426,A Chinese Odyssey Part Two: Cinderella,Action,"Hong Kong, Comedy, Martial Arts, Based on Books, Action & Adventure, Chinese",1995,U/A 16+,Cantonese [Original],"374329, 70026792, 70144556, 80997793, 81386963, 81403965, 70027007, 70043379, 80184682, 80237245, 80214405, 81067756"
8179348,Hush,Thriller,"Drama, Thriller, US",1998,U/A 16+,"Hindi, English [Original]","60010341, 950149, 60022967, 8188050, 70113299, 60022700, 60023237, 797261, 81592177, 81157374, 80998968, 81225962"
8188050,Wild Things,Thriller,"Crime, Thriller, Mystery, US",1998,A,"Hindi, English [Original]","60010341, 81090319, 81446391, 80155477, 81674326, 81304948, 81478642, 80202902, 81170838, 81592177, 81346196, 70294663"
11546798,Lifeline,Action,"Hong Kong, Action & Adventure, Chinese",1997,U/A 13+,Cantonese [Original],"70117354, 70043379, 70285697, 70080481, 81030202, 70309225, 80144152, 80237937, 80007760, 80135353, 70062784, 80117455"
11819467,Godzilla,Sci-Fi,"Sci-Fi, Action & Adventure, US",1998,U/A 13+,"Hindi, English [Original], Tamil, Telugu, Bangla","80228280, 81044417, 81245455, 80029196, 80139562, 60036256, 60002360, 81767635, 80216309, 20559714, 70297757, 80237937"
17236928,Rush Hour,Action,"Crime, Comedy, Martial Arts, Action & Adventure, US",1998,U/A 13+,"Hindi, English [Original]","60020801, 70184054, 60001650, 81322579, 70027007, 70286698, 80094318, 215309, 81762792, 70059988, 60022059, 80067830"
17517355,Duplicate,Comedy,"Hindi-Language, Bollywood, Drama, Comedy",1998,U/A 13+,Hindi [Original],"20764666, 60036112, 70057651, 60000722, 60036735, 60036752, 80157133, 80156935, 70083535, 70000196, 24081514, 60036750"
17671454,Dil Se,Drama,"Hindi-Language, Bollywood, Drama, Romantic",1998,U/A 16+,Hindi [Original],"60036112, 70057651, 60000722, 70039405, 60036750, 60036735, 60021758, 70083535, 80156935, 70000196, 70019491, 70115621"
19759334,Roja,Romance,"Drama, Thriller, Romantic, Telugu-Language",1992,U/A 13+,Telugu [Original],"17671454, 81643841, 81643751, 60036750, 70063017, 70090035, 70001564, 81713677, 81644560, 70047320, 70019491, 81486768"
20254278,Aakhri Adaalat,Action,"Hindi-Language, Bollywood, Crime, Action & Adventure",1988,U/A 16+,Hindi [Original],"80158543, 80156939, 80157086, 70229043, 80158482, 60002088, 81244365, 80156938, 80156935, 70000196, 80158479, 24012660"
20257393,Professor,Comedy,"Hindi-Language, Bollywood, Romantic Comedies, Drama, Comedy, Romantic",1962,U/A 13+,Hindi [Original],"80157083, 80158546, 80157134, 80158545, 60002088, 81244365, 80158390, 80158481, 80157133, 235527, 60002082, 24012660"
